연도,자치구,노후주택수,전체주택수,노후주택비율,정비공급우선지수,우선순위
2023,중구,25144,44191,0.5689846348804055,76.8,우선 검토
2023,중랑구,62403,119961,0.5201940630704979,42.4,관찰
2024,강남구,106688,192220,0.5550306939964624,26.4,관찰
2024,강동구,60987,155312,0.3926741011641084,10.399999999999999,관찰
2024,강북구,67231,101800,0.6604223968565816,79.19999999999999,우선 검토
2024,강서구,116635,204363,0.5707246419361626,30.4,관찰
2024,관악구,83044,130987,0.633986578820799,61.6,검토
2024,광진구,54295,95631,0.5677552258158965,56.8,검토
2024,구로구,85900,137950,0.6226893802102211,55.99999999999999,검토
2024,금천구,42061,72667,0.578818445786946,71.2,우선 검토
2024,노원구,168264,192808,0.8727023774947098,63.199999999999996,검토
2024,도봉구,87567,109638,0.7986920593224976,83.19999999999999,우선 검토
2024,동대문구,57516,110761,0.5192802520742861,38.4,관찰
2024,동작구,67689,120989,0.5594640835117242,43.2,관찰
2024,마포구,68030,129425,0.5256326057562295,34.4,관찰
2024,서대문구,60843,106311,0.5723114259107712,58.4,검토
2024,서초구,62171,134566,0.462011206396861,21.599999999999998,관찰
2024,성동구,56578,91231,0.6201620063355657,72.80000000000001,우선 검토
2024,성북구,73274,143758,0.5097038077880883,23.200000000000003,관찰
2024,송파구,108522,222795,0.48709351646132093,9.6,관찰
2024,양천구,101689,147679,0.6885813148788927,62.4,검토
2024,영등포구,70911,115011,0.6165584161514985,60.8,검토
2024,용산구,50040,78063,0.6410207140386611,81.6,우선 검토
2024,은평구,70512,163763,0.4305734506573524,11.200000000000001,관찰
2024,종로구,33250,47156,0.7051064551700738,92.0,우선 검토
2024,중구,25536,44572,0.5729157318495917,72.0,우선 검토
2024,중랑구,65588,120876,0.5426056454548462,40.0,관찰
2025,강남구,111219,192711,0.577128446222582,31.2,관찰
2025,강동구,63261,170045,0.37202505219206683,8.8,관찰
2025,강북구,67763,102100,0.663692458374143,76.8,우선 검토
2025,강서구,124171,205470,0.6043266656932885,37.6,관찰
2025,관악구,89326,132634,0.6734773889048057,66.4,검토
2025,광진구,54896,97994,0.5601975631161091,52.0,검토
2025,구로구,88004,139827,0.6293777310533731,53.6,검토
2025,금천구,42395,72909,0.581478281144989,66.4,검토
