연도,자치구,주택유형,경과연수,노후주택수
2016,강동구,단독주택,30년 이상,3026
2016,종로구,아파트,30년 이상,1216
2016,중구,아파트,30년 이상,1797
2016,용산구,아파트,30년 이상,8733
2016,성동구,아파트,30년 이상,4082
2016,광진구,아파트,30년 이상,1851
2016,동대문구,아파트,30년 이상,2347
2016,중랑구,아파트,30년 이상,401
2016,성북구,아파트,30년 이상,1559
2016,강북구,아파트,30년 이상,30
2016,도봉구,아파트,30년 이상,1658
2016,노원구,아파트,30년 이상,6717
2016,은평구,아파트,30년 이상,157
2016,서대문구,아파트,30년 이상,1889
2016,마포구,아파트,30년 이상,4347
2016,양천구,아파트,30년 이상,11959
2016,강서구,아파트,30년 이상,802
2016,구로구,아파트,30년 이상,3931
2016,금천구,아파트,30년 이상,2892
2016,영등포구,아파트,30년 이상,16446
2016,동작구,아파트,30년 이상,309
2016,관악구,아파트,30년 이상,2788
2016,서초구,아파트,30년 이상,23133
2016,강남구,아파트,30년 이상,43542
2016,송파구,아파트,30년 이상,23800
2016,강동구,아파트,30년 이상,19031
2016,종로구,연립주택,30년 이상,940
2016,중구,연립주택,30년 이상,260
2016,용산구,연립주택,30년 이상,810
2016,성동구,연립주택,30년 이상,1155
2016,광진구,연립주택,30년 이상,1527
2016,동대문구,연립주택,30년 이상,1738
2016,중랑구,연립주택,30년 이상,2328
2016,성북구,연립주택,30년 이상,1479
2016,강북구,연립주택,30년 이상,1193
2016,도봉구,연립주택,30년 이상,1040
2016,노원구,연립주택,30년 이상,526
2016,은평구,연립주택,30년 이상,1340
2016,서대문구,연립주택,30년 이상,1486
2016,마포구,연립주택,30년 이상,1421
2016,양천구,연립주택,30년 이상,2216
2016,강서구,연립주택,30년 이상,2127
2016,구로구,연립주택,30년 이상,2777
2016,금천구,연립주택,30년 이상,1551
2016,영등포구,연립주택,30년 이상,733
2016,동작구,연립주택,30년 이상,1129
2016,관악구,연립주택,30년 이상,1230
2016,서초구,연립주택,30년 이상,1107
2016,강남구,연립주택,30년 이상,1217
2016,송파구,연립주택,30년 이상,216
2016,강동구,연립주택,30년 이상,877
2016,종로구,다세대주택,30년 이상,537
2016,중구,다세대주택,30년 이상,288
2016,용산구,다세대주택,30년 이상,2102
